Report for set: CR1190
Processed 132 / 132 models (missing solution for 0 models)
========================================================================================================================
Model                                              Solution                                           Status          Details                       
------------------------------------------------------------------------------------------------------------------------
CR1190_TS029_1_refined.pdb                         CR1190_TS029_1_solution.pdb                        SUCCESS         7.815                         
CR1190_TS029_2_refined.pdb                         CR1190_TS029_2_solution.pdb                        SUCCESS         9.42                          
CR1190_TS029_3_refined.pdb                         CR1190_TS029_3_solution.pdb                        SUCCESS         6.816                         
CR1190_TS035_1_refined.pdb                         CR1190_TS035_1_solution.pdb                        SUCCESS         27.226                        
CR1190_TS035_2_refined.pdb                         CR1190_TS035_2_solution.pdb                        SUCCESS         27.226                        
CR1190_TS035_3_refined.pdb                         CR1190_TS035_3_solution.pdb                        SUCCESS         27.226                        
CR1190_TS035_4_refined.pdb                         CR1190_TS035_4_solution.pdb                        SUCCESS         22.411                        
CR1190_TS035_5_refined.pdb                         CR1190_TS035_5_solution.pdb                        SUCCESS         28.118                        
CR1190_TS054_1_refined.pdb                         CR1190_TS054_1_solution.pdb                        SUCCESS         22.663                        
CR1190_TS054_2_refined.pdb                         CR1190_TS054_2_solution.pdb                        SUCCESS         22.663                        
CR1190_TS054_3_refined.pdb                         CR1190_TS054_3_solution.pdb                        SUCCESS         22.663                        
CR1190_TS054_4_refined.pdb                         CR1190_TS054_4_solution.pdb                        SUCCESS         22.663                        
CR1190_TS054_5_refined.pdb                         CR1190_TS054_5_solution.pdb                        SUCCESS         27.042                        
CR1190_TS076_1_refined.pdb                         CR1190_TS076_1_solution.pdb                        SUCCESS         24.472                        
CR1190_TS076_2_refined.pdb                         CR1190_TS076_2_solution.pdb                        SUCCESS         23.853                        
CR1190_TS076_3_refined.pdb                         CR1190_TS076_3_solution.pdb                        SUCCESS         24.568                        
CR1190_TS076_4_refined.pdb                         CR1190_TS076_4_solution.pdb                        SUCCESS         22.911                        
CR1190_TS076_5_refined.pdb                         CR1190_TS076_5_solution.pdb                        SUCCESS         30.432                        
CR1190_TS081_1_refined.pdb                         CR1190_TS081_1_solution.pdb                        SUCCESS         34.227                        
CR1190_TS081_2_refined.pdb                         CR1190_TS081_2_solution.pdb                        SUCCESS         36.259                        
CR1190_TS081_3_refined.pdb                         CR1190_TS081_3_solution.pdb                        SUCCESS         34.29                         
CR1190_TS081_4_refined.pdb                         CR1190_TS081_4_solution.pdb                        SUCCESS         35.67                         
CR1190_TS081_5_refined.pdb                         CR1190_TS081_5_solution.pdb                        SUCCESS         33.699                        
