2026-03-30 21:48:48,936 - INFO - Loaded 4599 gGSP records from d:\Studia\Projekty\gsp-lab\results\plots\gGSP_5.0.csv
2026-03-30 21:48:49,202 - INFO - Loaded 4599 lDDT records from d:\Studia\Projekty\gsp-lab\results\lddt\finished\global_report.csv
2026-03-30 21:48:51,589 - INFO - Processing target: CR1107
2026-03-30 21:48:51,716 - INFO - 
--- Detailed data for target: CR1107 ---
2026-03-30 21:48:51,741 - INFO - 
   Model   gGSP  lDDT   RMSD  DI_all  INF_all  INF_wc  INF_nwc  INF_stacking  Clash_Score      P-value   mcq  TM-score
 ts029_1 23.685 0.430 17.040  31.906    0.534   0.583    0.000         0.529         0.00 1.290000e-04 31.14     0.276
 ts029_2 24.214 0.452 17.007  29.959    0.568   0.711    0.000         0.527         0.00 1.200000e-04 30.86     0.280
 ts035_1  9.013 0.344 20.539  45.788    0.449   0.216    0.000         0.551         0.46 4.360000e-02 28.60     0.233
 ts035_2  9.122 0.337 22.002  48.215    0.456   0.257    0.000         0.545         0.46 1.850000e-01 29.34     0.193
 ts035_3  9.267 0.349 21.399  44.687    0.479   0.270    0.000         0.552         1.38 1.090000e-01 28.17     0.211
 ts035_4  8.514 0.321 22.742  48.674    0.467   0.229    0.000         0.566         1.84 3.140000e-01 28.76     0.151
 ts035_5  9.213 0.340 21.737  43.764    0.497   0.333    0.000         0.555         1.38 1.480000e-01 27.41     0.241
 ts054_1 28.922 0.581  7.734   9.634    0.803   0.885    0.000         0.781         0.45 0.000000e+00 29.39     0.358
 ts054_2 71.665 0.621  6.430   7.944    0.809   0.866    0.000         0.789         0.91 0.000000e+00 28.26     0.372
 ts054_3 35.554 0.581  8.123  10.569    0.769   0.866   -1.000         0.733         0.00 0.000000e+00 29.04     0.374
 ts054_4 32.426 0.599  7.509   9.556    0.786   0.823    0.000         0.773         6.78 0.000000e+00 25.61     0.368
 ts054_5 34.525 0.573  7.807  10.631    0.734   0.818   -1.000         0.704         0.45 0.000000e+00 30.04     0.396
 ts076_1  9.207 0.371 20.184  34.787    0.580   0.369    0.000         0.651         5.88 2.820000e-02 24.16     0.232
 ts076_2  9.721 0.408 19.903  30.373    0.655   0.389    0.000         0.738         6.78 1.960000e-02 23.69     0.255
 ts076_3 10.487 0.389 18.873  30.001    0.629   0.352    0.000         0.733         6.33 4.200000e-03 24.45     0.299
 ts076_4 10.063 0.385 22.831  35.623    0.641   0.369    0.000         0.733         6.78 3.310000e-01 23.44     0.229
 ts076_5 10.916 0.407 18.174  27.777    0.654   0.379    0.000         0.745         8.59 1.250000e-03 22.48     0.228
 ts081_1 22.671 0.528 14.097  19.666    0.717   0.693    0.000         0.733         0.00 6.160000e-08 24.40     0.333
 ts081_2 21.815 0.527 14.112  19.516    0.723   0.719    0.000         0.733         0.00 6.430000e-08 24.18     0.330
 ts081_3 29.397 0.527 13.111  17.902    0.732   0.669    0.000         0.763         0.90 2.670000e-09 22.33     0.323
 ts081_4 36.846 0.482  8.804  13.374    0.658   0.648    0.000         0.673         0.00 1.110000e-16 34.65     0.324
 ts091_1  3.010 0.224 58.547 398.669    0.147  -1.000    0.000         0.173         0.93 1.000000e+00 36.38     0.154
 ts091_2  3.017 0.212 62.739 431.641    0.145  -1.000    0.000         0.168         3.25 1.000000e+00 36.08     0.141
 ts091_3  2.605 0.220 62.875 322.424    0.195  -1.000    0.000         0.230         0.47 1.000000e+00 34.57     0.134
