Report for set: PZ27tBox
Processed 67 / 67 models (missing solution for 0 models)
========================================================================================================================
Model                                              Solution                                           Status          Details                       
------------------------------------------------------------------------------------------------------------------------
PZ27tBox_Adamiak_1_refined.pdb                     PZ27tBox_Adamiak_1_solution.pdb                    SUCCESS         41.36                         
PZ27tBox_Adamiak_2_refined.pdb                     PZ27tBox_Adamiak_2_solution.pdb                    SUCCESS         39.333                        
PZ27tBox_Bujnicki_1_refined.pdb                    PZ27tBox_Bujnicki_1_solution.pdb                   SUCCESS         61.966                        
PZ27tBox_Bujnicki_2_refined.pdb                    PZ27tBox_Bujnicki_2_solution.pdb                   SUCCESS         59.577                        
PZ27tBox_Bujnicki_3_refined.pdb                    PZ27tBox_Bujnicki_3_solution.pdb                   SUCCESS         58.279                        
PZ27tBox_Bujnicki_4_refined.pdb                    PZ27tBox_Bujnicki_4_solution.pdb                   SUCCESS         55.392                        
PZ27tBox_Bujnicki_5_refined.pdb                    PZ27tBox_Bujnicki_5_solution.pdb                   SUCCESS         58.126                        
PZ27tBox_Chen_10_refined.pdb                       PZ27tBox_Chen_10_solution.pdb                      SUCCESS         55.16                         
PZ27tBox_Chen_1_refined.pdb                        PZ27tBox_Chen_1_solution.pdb                       SUCCESS         62.073                        
PZ27tBox_Chen_2_refined.pdb                        PZ27tBox_Chen_2_solution.pdb                       SUCCESS         63.188                        
PZ27tBox_Chen_3_refined.pdb                        PZ27tBox_Chen_3_solution.pdb                       SUCCESS         65.119                        
PZ27tBox_Chen_4_refined.pdb                        PZ27tBox_Chen_4_solution.pdb                       SUCCESS         63.78                         
PZ27tBox_Chen_5_refined.pdb                        PZ27tBox_Chen_5_solution.pdb                       SUCCESS         63.657                        
PZ27tBox_Chen_6_refined.pdb                        PZ27tBox_Chen_6_solution.pdb                       SUCCESS         57.933                        
PZ27tBox_Chen_7_refined.pdb                        PZ27tBox_Chen_7_solution.pdb                       SUCCESS         58.15                         
PZ27tBox_Chen_8_refined.pdb                        PZ27tBox_Chen_8_solution.pdb                       SUCCESS         56.814                        
PZ27tBox_Chen_9_refined.pdb                        PZ27tBox_Chen_9_solution.pdb                       SUCCESS         58.325                        
PZ27tBox_Das_10_refined.pdb                        PZ27tBox_Das_10_solution.pdb                       SUCCESS         61.364                        
PZ27tBox_Das_1_refined.pdb                         PZ27tBox_Das_1_solution.pdb                        SUCCESS         64.407                        
PZ27tBox_Das_2_refined.pdb                         PZ27tBox_Das_2_solution.pdb                        SUCCESS         66.845                        
PZ27tBox_Das_3_refined.pdb                         PZ27tBox_Das_3_solution.pdb                        SUCCESS         65.387                        
PZ27tBox_Das_4_refined.pdb                         PZ27tBox_Das_4_solution.pdb                        SUCCESS         56.131                        
PZ27tBox_Das_5_refined.pdb                         PZ27tBox_Das_5_solution.pdb                        SUCCESS         63.626                        
PZ27tBox_Das_6_refined.pdb                         PZ27tBox_Das_6_solution.pdb                        SUCCESS         64.378                        
PZ27tBox_Das_7_refined.pdb                         PZ27tBox_Das_7_solution.pdb                        SUCCESS         63.571                        
PZ27tBox_Das_8_refined.pdb                         PZ27tBox_Das_8_solution.pdb                        SUCCESS         64.596                        
PZ27tBox_Das_9_refined.pdb                         PZ27tBox_Das_9_solution.pdb                        SUCCESS         59.785                        
PZ27tBox_FARFAR2_10_refined.pdb                    PZ27tBox_FARFAR2_10_solution.pdb                   SUCCESS         62.822                        
PZ27tBox_FARFAR2_1_refined.pdb                     PZ27tBox_FARFAR2_1_solution.pdb                    SUCCESS         64.596                        
PZ27tBox_FARFAR2_2_refined.pdb                     PZ27tBox_FARFAR2_2_solution.pdb                    SUCCESS         66.845                        
PZ27tBox_FARFAR2_3_refined.pdb                     PZ27tBox_FARFAR2_3_solution.pdb                    SUCCESS         64.407                        
PZ27tBox_FARFAR2_4_refined.pdb                     PZ27tBox_FARFAR2_4_solution.pdb                    SUCCESS         65.387                        
PZ27tBox_FARFAR2_5_refined.pdb                     PZ27tBox_FARFAR2_5_solution.pdb                    SUCCESS         56.131                        
PZ27tBox_FARFAR2_6_refined.pdb                     PZ27tBox_FARFAR2_6_solution.pdb                    SUCCESS         63.998                        
PZ27tBox_FARFAR2_7_refined.pdb                     PZ27tBox_FARFAR2_7_solution.pdb                    SUCCESS         63.571                        
PZ27tBox_FARFAR2_8_refined.pdb                     PZ27tBox_FARFAR2_8_solution.pdb                    SUCCESS         63.626                        
PZ27tBox_FARFAR2_9_refined.pdb                     PZ27tBox_FARFAR2_9_solution.pdb                    SUCCESS         64.378                        
PZ27tBox_iFoldRNA_1_refined.pdb                    PZ27tBox_iFoldRNA_1_solution.pdb                   SUCCESS         8.728                         
PZ27tBox_iFoldRNA_2_refined.pdb                    PZ27tBox_iFoldRNA_2_solution.pdb                   SUCCESS         8.442                         
PZ27tBox_iFoldRNA_3_refined.pdb                    PZ27tBox_iFoldRNA_3_solution.pdb                   SUCCESS         8.876                         
PZ27tBox_iFoldRNA_4_refined.pdb                    PZ27tBox_iFoldRNA_4_solution.pdb                   SUCCESS         8.722                         
