Report for set: PZ35
Processed 51 / 51 models (missing solution for 0 models)
========================================================================================================================
Model                                              Solution                                           Status          Details                       
------------------------------------------------------------------------------------------------------------------------
PZ35_Bujnicki_1_refined.pdb                        PZ35_Bujnicki_1_solution.pdb                       SUCCESS         24.883                        
PZ35_Bujnicki_2_refined.pdb                        PZ35_Bujnicki_2_solution.pdb                       SUCCESS         24.808                        
PZ35_Bujnicki_3_refined.pdb                        PZ35_Bujnicki_3_solution.pdb                       SUCCESS         63.011                        
PZ35_Bujnicki_4_refined.pdb                        PZ35_Bujnicki_4_solution.pdb                       SUCCESS         21.611                        
PZ35_Bujnicki_5_refined.pdb                        PZ35_Bujnicki_5_solution.pdb                       SUCCESS         20.061                        
PZ35_Chen_10_refined.pdb                           PZ35_Chen_10_solution.pdb                          SUCCESS         26.62                         
PZ35_Chen_1_refined.pdb                            PZ35_Chen_1_solution.pdb                           SUCCESS         60.839                        
PZ35_Chen_2_refined.pdb                            PZ35_Chen_2_solution.pdb                           SUCCESS         60.789                        
PZ35_Chen_3_refined.pdb                            PZ35_Chen_3_solution.pdb                           SUCCESS         25.964                        
PZ35_Chen_4_refined.pdb                            PZ35_Chen_4_solution.pdb                           SUCCESS         62.648                        
PZ35_Chen_5_refined.pdb                            PZ35_Chen_5_solution.pdb                           SUCCESS         61.414                        
PZ35_Chen_6_refined.pdb                            PZ35_Chen_6_solution.pdb                           SUCCESS         25.447                        
PZ35_Chen_7_refined.pdb                            PZ35_Chen_7_solution.pdb                           SUCCESS         61.626                        
PZ35_Chen_8_refined.pdb                            PZ35_Chen_8_solution.pdb                           SUCCESS         27.003                        
PZ35_Chen_9_refined.pdb                            PZ35_Chen_9_solution.pdb                           SUCCESS         61.392                        
PZ35_Dfold2_1_refined.pdb                          PZ35_Dfold2_1_solution.pdb                         SUCCESS         4.63                          
PZ35_Dfold2_2_refined.pdb                          PZ35_Dfold2_2_solution.pdb                         SUCCESS         4.605                         
PZ35_Dfold2_3_refined.pdb                          PZ35_Dfold2_3_solution.pdb                         SUCCESS         4.317                         
PZ35_Dfold2_4_refined.pdb                          PZ35_Dfold2_4_solution.pdb                         SUCCESS         8.347                         
PZ35_Dfold2_5_refined.pdb                          PZ35_Dfold2_5_solution.pdb                         SUCCESS         4.68                          
PZ35_Dfold2_6_refined.pdb                          PZ35_Dfold2_6_solution.pdb                         SUCCESS         7.364                         
PZ35_Dfold2_7_refined.pdb                          PZ35_Dfold2_7_solution.pdb                         SUCCESS         4.217                         
PZ35_Dfold2_8_refined.pdb                          PZ35_Dfold2_8_solution.pdb                         SUCCESS         9.637                         
PZ35_Ding_1_refined.pdb                            PZ35_Ding_1_solution.pdb                           SUCCESS         16.182                        
